"source","target"
"No live services","Aucun service en fonction"
"No services in trial mode","Aucun service en mode d’essai"
"Last login","Dernière connexion"
"This person has never logged in","Cette personne ne s’est jamais connectée"
"Last logged in","Dernière connexion"
"failed login attempts","tentative de connexion échouée"
"Archive user","Archiver l’utilisateur"
"Unblock user","Débloquer l'utilisateur"
"Block user","Bloquer l'utilisateur"
"Confirm change of email address","Confirmer le changement de l’adresse courriel"
"New email address:","Nouvelle adresse courriel"
"We will send","Nous enverrons"
"an email to tell them about the change.","un courriel pour les informer du changement."
"Confirm","Confirmer"
"Confirm change of mobile number","Confirmer le changement du numéro de téléphone cellulaire"
"New mobile number:","Nouveau numéro de téléphone cellulaire :"
"a text message to tell them about the change.","un message texte pour les informer du changement."
"Change team member’s email address","Changer l’adresse courriel d’un membre de l’équipe"
"This will change the email address for","Ceci changera l’adresse courriel de : "
"Change team member’s mobile number","Changer le numéro de téléphone cellulaire d’un membre de l’équipe"
"This will change the mobile number for ","Ceci changera le numéro de téléphone cellulaire de : "
"All team members can see sent messages.","Tous les membres de l’équipe peuvent voir les messages envoyés."
"Platform admin users can access all template folders.","Les utilisateurs administrateurs de la plateforme peuvent accéder à tous les dossiers de gabarits."
"Not available because this team member has not added a phone&nbsp;number to their profile","Non disponible puisque ce membre de l'équipe n’a pas ajouté un numéro de téléphone dans son profil d’utilisateur"
"was sent","a été envoyé"
"by","par"
"See all text messages sent to this phone number","Voir tous les messages texte envoyés à ce numéro"
"New organisation","Nouvelle organisation"
"live service(s)","service(s) en fonction"
"archived","archivé"
"When you turn a service live please log which services have been turned live and why you approved the change.","Lorsque vous activez un service, veuillez indiquer quels services ont été activés et pourquoi vous avez approuvé le changement."
"Preview","Voir un aperçu"
"Confirm organisation name change","Confirmer le changement du nom de l'organisation"
"Your organisation name will be changed from","Le nom de votre organisation sera changé de"
"Change organisation name","Changer le nom de l'organisation"
"Remove user from organisation","Enlever l'utilisateur de l'organisation"
"Live API keys","Clés API en fonction"
"Service","Service"
"Total notifications","Notifications totales"
"SMS","SMS"
"Download report","Télécharger le rapport"
"Reports","Rapports"
"Download live services csv report","Télécharger le rapport csv sur les services en fonction"
"Download performance platform report (.xlsx)","Télécharger le rapport sur la performance de la plateforme (.xlsx)"
"Monthly notification statuses for live services","État mensuel des notifications pour les services en fonction"
"Usage for all services","Utilisation pour tous les services"
"Enter start date in format YYYY-MM-DD","Inscriver la date de début dans le format AAAA-MM-JJ"
"To use <i>Notify</i>, there’s:","Pour utiliser <i>Notification</i> il y a :"
"no monthly charge","aucun frais mensuel"
"no setup fee","aucun frais d'installation"
"no procurement cost","aucun frais d'acquisition"
"then set up as many different services as you need to.","puis mettez en place le nombre de services différents nécessaires."
"You can set up as many different services as you need to.","Vous pouvez mettre en place autant de services différents que nécessaire."
"When you set up a new service it will start in","Lorsque vous créez un nouveau service, il commencera en"
"Each service you set up in <i>Notify</i> has a free annual allowance.","Chaque service que vous créez dans <i>Notification</i> a une allocation annuelle gratuite."
"Yes, delete ","Oui, supprimer "
"You have not added any reply-to email addresses yet","Vous n’avez pas encore ajouté d’adresse courriel de réponse"
"Add reply-to email address","Ajouter une adresse courriel de réponse"
"You need to add at least one reply-to address so recipients can reply to your messages.","Vous devez ajouter au moins une adresse de réponse pour que les destinataires puissent répondre à vos messages."
"Emails with a reply-to address:","Les courriels ayant une adresse de réponse :"
"are less likely to be labelled as spam","ont moins de chances d’être classés comme pourriel"
"appear more trustworthy","semblent plus dignes de confiance"
"Link service to organisation","Lier le service à l'organisation"
"No organisations","Aucune organisation"
"Users will see your service name:","Le nom de votre service apparaîtra : "
"as your email sender name","dans le nom d’expéditeur de vos courriels"
"Users will see your service name as your email sender name.","Le nom de votre service apparaîtra dans le nom d’expéditeur de vos courriels."
"Request to go live","Demander d'activer votre service"
"Sending Page","Page d'envoi"
"Sending Domain","Domaine d'envoi"
"Default notification.alpha.canada.ca","Défaut : notification.alpha.canada.ca"
"Your team members can log in with either a text message code or an email link.","Les membres de votre équipe peuvent se connecter soit au moyen d’un code envoyé par message texte, soit au moyen d’un lien envoyé par courriel."
"You can","Vous pouvez"
"set the sign-in method for individual team members","définir la méthode de connexion pour chaque membre de l'équipe"
"Your team members log in with a text message code.","Les membres de votre équipe se connectent au moyen d’un code envoyé par message texte."
"if logging in with a text message is a problem for your team.","si la connexion par message texte est problématique pour votre équipe."
"Set email branding","Définir l'image de marque du courriel"
"Charges may apply for messages sent to international phone numbers – so be careful!","Attention! Des frais pourraient s’appliquer aux messages envoyés à des numéros de téléphone internationaux."
"You have a free allowance of","Vous disposez de"
"text messages each financial year.","messages texte gratuits par exercice financier."
"You have not added any text message senders yet","Vous n’avez ajouté aucun expéditeur de message texte à ce jour"
"Add text message sender","Ajouter un expéditeur de message texte"
"The text message sender tells your users who the message is from.","L’expéditeur de message texte fait savoir à vos utilisateurs d’où vient le message."
"Change email branding","Changer l'image de marque du courriel"
"Choose the branding you’d like on your emails.","Choisir l'image de marque que vous souhaitez pour vos courriels."
"You need to choose an option","Vous devez sélectionner une option"
"We’ll email you once your branding’s ready to use, or if we need any more information.","Nous vous enverrons un courriel dès que votre image de marque sera prête à être utilisé, ou bien si nous avons besoin plus d'informations."
"Request new branding","Demander une nouvelle image de marque"
"Update email branding","Mettre à jour l'image de marque du courriel"
"Uploaded logos need to be exactly 108px tall to fit correctly at the top of your emails","Les logos téléversés doivent avoir une hauteur d’exactement 108 pixels pour s’insérer correctement en haut de vos courriels."
"We will review your branding and implement it.","Nous examinerons votre image de marque puis nous l’appliquerons."
"Your logo has been uploaded, and a branding request has been made to our support team.","Votre logo a été téléversé. Une demande d'image de marque a été envoyée à l’équipe de soutien."
"Upload logo","Téléverser un logo"
"We’re checking that ","Nous vérifions que l'adresse "
"is a real email address.","est valide."
"This can take a minute","Cela peut prendre une minute"
"is ready to use","est prête à être utilisé"
"There’s a problem with your reply-to address","Il y a un problème avec votre adresse courriel de réponse"
"We sent an email to ","Nous avons envoyé un courriel à "
"but it wasn’t delivered.","mais le message ne s’est pas rendu."
"You can try again, or use a different address.","Vous pouvez réessayer ou utiliser une autre adresse courriel."
"This should be a shared inbox managed by your team, not your own email address.","L’adresse doit correspondre à une boîte de réception gérée par votre équipe, et non à votre adresse courriel personnelle."
"Change reply-to email address","Modifier l’adresse courriel de réponse"
"This is the default reply-to address for","Il s’agit de l’adresse de réponse par défaut pour"
"email reply-to address","une adresse courriel de réponse"
"Change text message sender","Modifier l’expéditeur des messages texte"
"This phone number receives replies and can’t be changed","Ce numéro de téléphone reçoit les réponses et ne peut pas être modifié"
"Up to 11 characters, letters, numbers and spaces only","Jusqu’à 11 caractères, lettres, chiffres et espaces seulement"
"This is the default text message sender.","Il s’agit de l’expéditeur de messages texte par défaut."
"Generate a new password if you forgot it.","Générer un nouveau mot de passe si vous l'avez oublié."
"Remove SMTP relay","Enlever le relais SMTP"
"Add SMTP Relay","Ajouter le relais SMTP"
"Create SMTP relay","Créer un relais SMTP"
"enter a name","entrer un nom"
"Back to support","Retour au soutien"
"Add new folder","Ajouter un nouveau dossier"
"This template was deleted","Ce gabarit a été supprimé"
"If you need to send this","Si vous avez besoin d’envoyer"
"or edit this template, contact your manager.","ou de modifier ce gabarit, communiquez avec votre gestionnaire."
"Edit made","Modification réalisée"
"Created","Créé"
"This folder is empty","Ce dossier est vide "
"There are no","Il n’y a pas de "
"templates in this folder","gabarits dans ce dossier"
"Add new template or folder","Ajouter un nouveau gabarit ou dossier"
"What do you want to add?","Que voulez-vous ajouter?"
"Confirm changes","Confirmer les modifications"
"You removed","Vous avez enlevé"
"You added","Vous avez ajouté"
"When you send messages using this template you’ll need","Lorsque vous envoyez des messages avec ce gabarit vous aurez besoin de"
"column of data:","colonne de données :"
"columns of data:","colonnes de données :"
"Developers, you’ll need to update your API calls","Développeurs, vous devrez mettre à jour vos appels API."
"Save changes to template","Enregistrer les modifications apportées au gabarit"
"You need to create a template to send","Vous devez créer un gabarit pour envoyer"
"emails, text messages or letters","des courriels, des messages texte ou des lettres."
"emails or text messages","des courriels ou des messages texte"
"You can also create folders to organize your templates.","Vous pouvez aussi créer des dossiers pour classer vos gabarits."
"You need to ask your service manager to add templates before you can send","Vous devez demander à votre gestionnaire de service d’ajouter des gabarits avant de pouvoir envoyer des messages"
"Copy an existing template","Copier un gabarit existant"
"Delete this folder","Supprimer ce dossier"
"Daily message limit","Limite quotidienne"
"Last edited","Dernière modification : "
"See previous versions","Voir les versions précédentes"
"Delete this template","Supprimer ce gabarit"
"Hide personal information from screen and logs after sending","Masquer les renseignements personnels de l’écran et des journaux de bord après l’envoi"
"Personalisation is hidden after sending","La personnalisation est masquée après l’envoi."
"Template version","Version du gabarit"
"See all versions of this template","Voir toutes les versions de ce gabarit"
"Something to remember your key by","Un indice pour vous aider à vous rappeler du nom de votre clé"
"Add key","Ajouter une clé"
"Change your ","Changer votre "
"Change your password","Changer votre mot de passe"
"We’ve sent a security code to your ","Nous avons envoyé un code de sécurité à votre "
"New security key","Nouvelle clé de sécurité"
"Test keys","Clés d’essai"
"Open Document Spreadsheet","Open Document Spreadsheet"
"or Microsoft Excel spreadsheet","ou en feuille de calcul Microsoft Excel"
"gc notify, notify, canada notify, canada email, email notifications, Government of Canada, federal government, Canada SMS, Canada Notification service","gc notification, notification, canada notification, canada courriel, notifications courriel, Gouvernement du Canada, gouvernement fédéral, Canada SMS, Service Notification Canada"
"since","depuis"
"Data available until","Données disponibles jusqu'au"
"Previous versions","Versions précédentes"
"Back to current templates","Retour aux gabarits existants"
"<i>Notify</i> is built for the needs of government services. It has processes in place to:","<i>Notification</i> est un système conçu pour répondre aux besoins des services gouvernementaux. Il comporte des processus permettant de&nbsp;:"
"protect user data","protéger les données des utilisateurs;"
"keep systems secure","maintenir la sécurité des systèmes;"
"manage risks around information","gérer les risques se rapportant à l’information."
"Data","Données"
"On <i>Notify</i>, data is encrypted:","Dans <i>Notification</i>, les données sont chiffrées :"
"when it passes through the service","lorsqu’elles passent par le service;"
"when it’s stored on the service","lorsqu’elles sont stockées sur le service."
"All data, including email addresses, phone numbers, and information in personalized messages are stored for 7 days within the system database. The exception is data files uploaded to the system. These are held for 30 days to allow for advanced scheduling of emails.","Toutes les données, y compris les adresses courriel, les numéros de téléphone et les renseignements contenus dans les messages personnalisés, sont conservées pendant 7 jours dans la base de données du système. Font exception les fichiers de données téléversés dans le système. Ceux-ci sont conservés pendant 30 jours afin de permettre la programmation des courriels à l’avance."
"See the ","Consultez l’"
"Privacy statement","Avis de confidentialité"
"for more information on how personal information is handled by <i>Notify</i>.","pour obtenir de plus amples renseignements sur la façon dont les renseignements personnels sont traités par <i>Notification</i>."
"Technical security","Sécurité technique"
"Other technical security controls on <i>Notify</i> include","Les autres contrôles techniques de sécurité de <i>Notification</i> comprennent notamment :"
"implementation of security controls from","La mise en œuvre de contrôles de sécurité à partir"
"Treasury Board of Canada Secretariat (TBS) cloud guardrails","des mesures de sécurité infonuagiques du Secrétariat du Conseil du Trésor du Canada (SCT);"
"TBS security playbook","du guide de sécurité du SCT;"
"Canadian Centre for Cyber Security (CCCS) Information Technology Security Guidance (ITSG-33)","du guide sur la gestion de la sécurité des technologies de l’information (ITSG-33) du Centre canadien pour la cybersécurité (CCC)."
"protective monitoring to record activity, and raise alerts about any suspicious activity","Une surveillance de protection permettant d’enregistrer les activités et de signaler toute activité suspecte"
"using JSON Web Tokens, to avoid sending API keys when your service talks to <i>Notify</i>","L’utilisation de jetons Web JSON pour éviter l’envoi de clés API lorsque votre service communique avec <i>Notification</i>"
"Protect sensitive information","Protection des renseignements de nature délicate"
"Some messages include sensitive information like security codes or password reset links.","Certains messages comportent des renseignements de nature délicate comme des codes de sécurité ou des liens de réinitialisation de mot de passe."
"If you’re sending a message with sensitive information, you can choose to hide those details on the Notify dashboard once the message has been sent. This means that only the message recipient will be able to see that information.","Si vous envoyez un message renfermant des renseignements de nature délicate, vous avez la possibilité de les masquer dans le tableau de bord de <i>Notification</i> une fois que le message a été envoyé. Cela signifie que seul le destinataire du message pourra voir ces renseignements."
"User permissions and logging in","Droits d’accès des utilisateurs et ouverture de session"
"You can set different user permissions in <i>Notify</i>. This lets you control who in your team has access to certain parts of the service.","Vous pouvez définir différents droits d’accès pour les utilisateurs dans <i>Notification</i>. Cela vous permet de déterminer qui dans votre équipe peut accéder à certaines parties du service."
"Two-factor authentication","Authentification à deux facteurs"
"To create an account on <i>Notify</i>, you’ll need to enter:","Pour créer un compte dans <i>Notification</i>, vous devez entrer :"
"your email address and password","votre adresse courriel et votre mot de passe;"
"a code that <i>Notify</i> sends to your phone or email","un code que <i>Notification</i> envoie à votre téléphone ou à votre courriel."
"Once you have logged in the first time, you can add a hardware-based security key to further increase the security of your account.","Une fois que vous avez ouvert une session pour la première fois, vous pouvez ajouter une clé de sécurité matérielle pour accroître la sécurité de votre compte."
"If you are having issues creating or accessing your account, email our support team at ","Si vous avez de la difficulté à créer votre compte ou à y accéder, envoyez un courriel à notre équipe de soutien à l’adresse "
"Information risk management","Gestion des risques liés à l’information"
"Our approach to information risk management follows TBS guidance. It assesses:","Notre démarche de gestion des risques liés à l’information suit les directives du SCT. Elle permet d’évaluer :"
"how <i>Notify</i> is built","comment <i>Notification</i> est construit;"
"the infrastructure <i>Notify</i> is built upon","l’infrastructure sur laquelle repose <i>Notification</i>;"
"support for the <i>Notify</i> service","le soutien pour le service de <i>Notification</i>."
"This approach also applies to the service providers <i>Notify</i> uses to send messages.","Cette démarche s’applique également aux fournisseurs de services utilisés par <i>Notification</i> pour envoyer des messages."
"How we manage risks on <i>Notify</i>","Façon dont nous gérons les risques avec <i>Notification</i>"
"Things we do to manage risks on <i>Notify</i> include:","Les mesures que nous prenons pour gérer les risques avec <i>Notification</i> sont les suivantes :"
"formal risk assessments based on TBS and CCCS guidance","Des évaluations officielles des risques fondées sur les directives du SCT et du CCC"
"residual risk statement preparation and active management of the risk treatment plan","Une préparation de l’état des risques résiduels et une gestion active du plan de traitement des risques"
"security impact assessments","Des évaluations des répercussions sur la sécurité"
"Authority to Operate","Autorisation d’exploitation"
"<i>Notify</i> has been assessed and authorized for operation by the CDS Chief Executive Officer, as the senior authorizing official for the service. This ATO will be re-assessed on at least an annual basis.","<i>Notification</i> a été évalué et autorisé aux fins d’exploitation par le premier dirigeant du Service numérique canadien, à titre de principal responsable de l’autorisation du service. Cette autorisation d’exploitation sera réévaluée au moins une fois par année."
"Data Categorization","Catégorisation des données"
"You can use <i>Notify</i> to send messages designated up to and including “Protected A” per the <a href=https://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=32614>Standard on Security Categorization</a>.","Vous pouvez utiliser <i>Notification</i> pour envoyer des messages classés jusqu’au niveau « Protégé A » inclusivement, conformément à la <a href=https://www.tbs-sct.gc.ca/pol/doc-fra.aspx?id=32614>Norme sur la catégorisation de sécurité</a>."
"Security Disclosure","Communications liées à la sécurité"
"Should an incident happen, we have a comprehensive incident response and customer notification procedures in place.","Dans l’éventualité d’un incident, nous avons mis en place des procédures complètes d’intervention et de notification des clients."
"Should you suspect a security breach or have discovered a vulnerability in the service, email us at ","Si vous soupçonnez une atteinte à la sécurité ou si vous avez découvert une vulnérabilité touchant le service, envoyez-nous un courriel à "
"and we’ll investigate immediately.","afin que nous puissions immédiatement faire enquête."
"Empty","Vide"
"1 template","1 gabarit"
"templates","gabarits"
"Are you sure you want to hide personalisation after sending?","Voulez-vous vraiment cacher la personnalisation après l'envoi?"
"You won’t be able to see personalised content in <i>Notify</i> for this template","Vous ne pourrez pas voir le contenu personnalisé dans <i>Notification</i> pour ce gabarit."
"You cannot undo this","Cette action est irréversible."
"That verification link has expired.","Le lien de vérification a expiré."
"The link in the email we sent you has expired. We’ve sent you a new one.","Le lien que nous vous avons envoyé par courriel a expiré. Nous vous avons envoyé un nouveau lien."
"Thanks for contacting us","Merci de nous avoir contacté"
"There’s something wrong with the link you’ve used.","Il y a un problème avec le lien que vous avez utilisé."
"The link in the email we sent you has expired. Enter your email address to resend.","Le lien que nous vous avons envoyé par courriel a expiré. Entrez votre adresse courriel pour le renvoyer."
"The link in the email has already been used","Le lien envoyé par courriel a déjà été utilisé"
"Are you sure you want to remove","Êtes-vous certain de vouloir enlever"
"Could not read {}. Try using a different file format.","{} ne peut pas être lu. Veuillez essayer un format de fichier différent."
"{} contains numbers or dates that Notify can’t understand. Try formatting all columns as ‘text’ or export your file as CSV.","{} contient des nombres ou des dates que Notification ne peut pas comprendre. Veuillez essayer de modifier le format des colonnes en 'texte' ou exportez votre fichier en CSV."
"Are you sure you want to remove security key {}?","Êtes-vous certain de vouloir supprimer la clé de sécurité {}?"
"You can't accept an invite for another person.","Vous ne pouvez pas accepter une invitation pour une autre personne."
"mobile number","numéro de téléphone cellulaire"
"password","mot de passe"
"name","nom"
"Current password","Mot de passe actuel"
"New password","Nouveau mot de passe"
"Upload a list of email addresses","Téléversez une liste d'adresse courriel"
"Upload a list of phone numbers","Téléversez une liste de numéro de téléphone"
"Upload a list of recipients","Téléversez une liste de destinataires"
"Use a list of email addresses from Amazon S3","Utiliser une liste d'adresses courriel de Amazon S3"
"Choose a list of email addresses from Amazon S3","Sélectionner une liste d'adresses courriel de Amazon S3"
"Not a valid international number","Entrer un numéro de téléphone valide"
"…and 0 more","et 0 autre"
"…and 1 more","et 1 autre"
"…and {} more","et {} autres"
